四字熟語,読み,意味,漢検配当級
四荒八極,しこうはっきょく,世界中のあるゆる場所、地域のこと。 世界の隅々までという意味。 「四荒」は北方の觚竹、南方の北戸、西方の西王母、東方の日下の四つのことで、この四方の果てにあるえびすの国のこと。 えびすは異民族の別称。 「八極」は八方の地の果てという意味。,4級
四書五経,ししょごきょう,代表的な儒教の経典のこと。 「四書」は「大学」、「中庸」、「論語」、「孟子」のこと。 「五経」は時代によって異説あるが漢以降は、「易経」、「詩経」、「書経」、「礼記」、「春秋」のこと。,4級
四十不惑,しじゅうふわく,孔子が生涯を述懐して語った言葉で、四十歳のときに自分の学問に自信をもって、向かう方向が妥当だと確信して迷わなくなったということから、四十歳で迷わなくなること。,4級
志操堅固,しそうけんご,自分の理念や信念、流儀などを堅く守っていて決して変えることがないこと。,4級
詩腸鼓吹,しちょうのこすい,詩を作る情をかきたてられること。 または、情をかきたてられる鶯の鳴き声のこと。 「詩腸」は詩を作る情、「鼓吹」は太鼓や笛を鳴らすという意味から勢いづけるや鼓舞するという意味。 六朝時代、宗の戴ギョウが行き先を聞かれ、「鶯の声を聞き世俗に染まった耳を清めて、詩情をかきたてようとしている」と答えた故事から。をの鳴き声のこと。 「詩腸」は詩を作る情、「鼓吹」は太鼓や笛を鳴らすという意味から勢いづけるや鼓舞するという意味。 六朝時代、宗の戴ギョウが行き先を聞かれ、「鶯の声を聞き世俗に染まった耳を清めて、詩情をかきたてようとしている」と答えた故事から。,4級
四鳥別離,しちょうべつり,雛鳥が巣立つときに親鳥が悲しい声で鳴く様子から、親子の悲しい別れのこと。 「四鳥」は四羽の雛鳥のこと。 孔子が早朝に悲鳴のような泣き声を聞き、これはなんだろうと弟子の顔回に尋ねると、垣山にいる四羽の雛鳥が巣立とうとしていたときの悲しげな母鳥の声に似ていると答えた。 調べてみると、父親が亡くなり、貧しくて子を売ることになった母親の泣き声だったという故事から。を鳥が巣立つときに親鳥が悲しい声で鳴く様子から、親子の悲しい別れのこと。 「四鳥」は四羽の雛鳥のこと。 孔子が早朝に悲鳴のような泣き声を聞き、これはなんだろうと弟子の顔回に尋ねると、垣山にいる四羽の雛鳥が巣立とうとしていたときの悲しげな母鳥の声に似ていると答えた。 調べてみると、父親が亡くなり、貧しくて子を売ることになった母親の泣き声だったという故事から。,4級
失笑噴飯,しっしょうふんぱん,食べている飯を噴き出してしまうほど、おかしくて笑ってしまうこと。 「噴飯」は食べている飯を噴き出すこと。,4級
七珍万宝,しっちんまんぽう,多種多様の宝物のこと。 経典により多少違いはあるが、仏教語で「七珍」は、金、銀、瑠璃、シャコ、瑪瑙、玻璃、珊瑚の七種のこと。 「万宝」は多くの種類の宝物という意味。,4級
射石飲羽,しゃせきいんう,集中して必死の思いで事にあたれば、どんな困難なことでも成し遂げることができるということ。 楚の熊渠子が暗闇の中でうずくまる虎を狙い、集中して力いっぱい矢を射て確認してみると、虎ではなく大きな石に矢の羽までも深く突き刺さっていたという故事から。 「射石」は弓で石を射ること。 「飲羽」は矢の羽までも深く突き刺さるという意味。,4級
秀外恵中,しゅうがいけいちゅう,主に女性についていう語で、容姿が美しく優しい心を持っていること。または、容姿が美しく賢いこと。 「秀外」は外見が秀でている。 「恵中」は心が優しいや、聡いという意味。,4級
衆口一致,しゅうこういっち,多くの人たちの意見が一致すること。 「衆口」はたくさんの人の言葉や考え。 「一致」は完全にぴったりと合うこと。,4級
集散離合,しゅうさんりごう,離れては集まり、集まっては離れたりすること。 または、協力したり対立したりすること。 「集散」と「離合」はどちらも離れたり集まったりすることで、同じ意味の言葉を重ねて強調した言葉。,4級
舟中敵国,しゅうちゅうてきこく,味方が敵になることもあることのたとえ。 行き先が同じ舟に乗っている人は利害が同じだが、状況によっては敵になるという意味から。 為政者への戒めの言葉で、周囲の敵国ばかり気にかけて、内政を怠れば、国内から反逆者が現れて滅ぼされるということ。,4級
主客転倒,しゅかくてんとう,物事の優先順位、重要性の大小、立場などが逆転すること。 「主客」は主人と客のことから、主な物事とそれに関係する物事のたとえ。 「転倒」は逆さにすること。 主人と客の立場が逆転するという意味から。,4級
出将入相,しゅっしょうにゅうしょう,学問と武術の両方の才能があること。 朝廷から外に出ると将軍として力を発揮して、朝廷の中に入れば宰相として力を発揮するということから。 「出でては将、入りては相」とも読む。,4級
手舞足踏,しゅぶそくとう,うれしくて小躍りして喜ぶこと。 「手舞」は手を動かして踊ること。 「足踏」は地面を踏んで音を出すこと。 どちらも踊りを言い表す言葉。 「手の舞い足の踏むを知らず」を略した言葉。,4級
春日遅遅,しゅんじつちち,春の日が心地よく、のんびりとしている様子。 または、春の日が長く、日が暮れるまでの時間が長いこと。 「春日」は春の太陽。 「遅遅」は時間がのんびりと過ぎていくこと。,4級
笑止千万,しょうしせんばん,この上なくくだらないこと。 または、ひどく気の毒なこと。 「笑止」はくだらないこと。または、気の毒なこと。 「千万」は程度がこの上なく高いこと。,4級
小心翼翼,しょうしんよくよく,小心者でいつもびくびくしている様子。 「小心」は慎み深いこと。または、気が小さいこと。 「翼翼」は親鳥が雛を翼で覆って注意深くかばうという意味から、遠慮がちで控えめなことをいう。 元は慎み深く礼儀正しい様子のことで、周の文王をほめる言葉。,4級
笑比河清,しょうひかせい,厳しい性格で、笑顔を見せることがほとんどないこと。 「河清」は黄河の水が澄き透ること。 今までに澄き通ったことのない黄河の水が透き通るくらいに、笑顔を見せることがないという意味から。 中国の北宋の時代の裁判官の包拯がほとんど笑うことがなかったことを、人々にたとえられたという故事から。 「笑いを河清に比す」とも読む。,4級
食前方丈,しょくぜんほうじょう,極めて贅沢で豪華な食事のこと。 「食前」は食事の時に座る席の前ということ。 「丈」は長さの単位で、一丈は約二・三メートル。 「方丈」は一丈四方ということ。 自分の席の前の一丈四方に、ごちそうが一杯に並べられるという意味から。,4級
諸法無我,しょほうむが,仏教の根本的な三つの思想の一つで、この世に存在しているものの全ては、永遠不変の本質はもっていないということ。 「諸行無常」、「涅槃寂静」と合わせて三法印と呼ばれる。 「諸法」はこの世の全ての事象や現象のこと。 「無我」は不変の本質である「我」は存在しないということ。,4級
思慮分別,しりょふんべつ,注意深く考えて、物事を判断すること。 「思慮」は注意深く考えること。 「分別」は道理をわきまえた判断のこと。,4級
新鬼故鬼,しんきこき,最近死んだ人の霊魂と昔死んだ人の霊魂のこと。 「鬼」は霊魂のこと。,4級
神機妙算,しんきみょうさん,非常にすぐれた策略のこと。 「神機」は神が考えたような素晴らしい策略。 「妙算」はすぐれた策略。,4級
身軽言微,しんけいげんび,地位が低いと発言も軽く扱われるということ。 「身軽」は身分が低いこと。 「言微」は言葉が軽く扱われること。 「身軽くして言微し」とも読む。,4級
慎始敬終,しんしけいしゅう,最初から最後まで、気をゆるめずに慎重に行うこと。 または、物事は最初と最後が大切であるということ。 「慎」と「敬」はどちらも細心の注意を払うこと。 「始めを慎み終わりを敬しむ」とも読む。,4級
信賞必罰,しんしょうひつばつ,賞と罰を正しく与えること。 立派な働きをしたものには必ずそれ相応の褒賞を与え、罪を犯したものには必ずそれ相応の罰を与えること。 「信賞」は必ず褒賞を与えること。 「必罰」は必ず罰を与えること。,4級
神色自若,しんしょくじじゃく,何があっても慌てずに落ち着いていること。 「神色」は精神と顔色。 「自若」は心がいつもと同じこと。 何があっても普段と同じ対応をするという意味から。,4級
新進気鋭,しんしんきえい,新たに現れた、鋭い意気込みがある将来有望な人のこと。 「新進」はその分野に新しく現れること。 「気鋭」は鋭く盛んな意気込みがあること。,4級
身体髪膚,しんたいはっぷ,人の体のあらゆる部分のこと。全身。 「髪膚」は髪の毛と皮膚のこと。 出典には「身体髪膚之を父母に受く」とあり、父母から受けた体は大切なものであるという意味の言葉。,4級
震天動地,しんてんどうち,大きな事件が起こることのたとえ。 または、勢いや音が極めて激しいことのたとえ。 「天を震わし地を動かす」とも読む。,4級
自己矛盾,じこむじゅん,同じ人の考えや行動が前後で食い違い、つじつまが合わなくなること。,4級
耳熟能詳,じじゅくのうしょう,何度も聞いて聞きなれていることは、詳しく説明できるという意味。 または、物事をよく知っているという意味。 「耳熟」は耳が聞きなれている、「能詳」は詳しく説明することが出来るということ。,4級
十寒一暴,じっかんいちばく,努力を続けられずに怠ることが多いことを戒めた言葉。 「寒」は冷やす、「暴」は日に曝すということで、日に曝して暖めようとして一日は暖めて、その後の十日間は日陰においたまま冷やしてしまうという意味。,4級
実事求是,じつじきゅうぜ,「実事」は本当のことや事実、「求是」は真実を求めるということから、 事実の実証に基づいて物事の真理を追求すること。,4級
耳提面命,じていめんめい,細かいところまで行き届いた丁寧な説明をして、理解できるように説き聞かせること。 「耳提」は耳を引いて寄せること。 「面命」は向かい合って説き聞かせること。,4級
縦横無尽,じゅうおうむじん,思うまま好きなように物事を行う様子。 または、満足するまで自由に行動すること。 「縦横」は縦と横のことから、自分の思いのままに振る舞うこと。 「無尽」は尽きることが無いという意味。,4級
重厚長大,じゅうこうちょうだい,大きくて重量感のある様子。 重く、厚く、長く、大きいという意味から。 人の性格や建物、または、重化学工業などのことをいう。,4級
十年一剣,じゅうねんいっけん,武術の修練を長い間積み続けること。 または、修練を積み続けた武術を発揮する機会を待つこと。 一振りの刀を十年磨き続けるという意味から。 「十年、一剣を磨く」を略した言葉。,4級
熟思黙想,じゅくしもくそう,心を落ち着かせて、しっかりと物事を考えること。 「熟思」はしっかりと考えること。 「黙想」は喋らずによく考えること。,4級
熟慮断行,じゅくりょだんこう,不足がないようにしっかりと考え抜いた上で、固い決意を持って行動すること。 「熟慮」は不足がないようにしっかりと考えること。 「断行」は固い決意を持って行動すること。,4級
上援下推,じょうえんかすい,上の人から目をかけられ、下のものから推薦されること。 「援」は引き上げるという意味。 「推」は推す、推薦するという意味。,4級
自力更生,じりきこうせい,他人を頼りにせず、自身の力だけで生活を改めて正しく立ち直ること。 「更生」は悪い状況からよい状態に戻ること。 犯罪を犯した人や経営の傾いた企業などが、他の力を借りずに立ち直ることなどをいう。 「自力甦生」とも書く。,4級
尋章摘句,じんしょうてきく,些細なことばかりこだわって、全体的なものの見方ができないこと。 「尋章」と「摘句」は文章の一節を考えること。 文章や詩の語句を解釈することにこだわって、書物全体の意味や趣旨を理解できないという意味から。 「章を尋ね句を摘む」とも読む。,4級
尋常一様,じんじょういちよう,他と変わらず、普通な様子。 「尋常」は変わったことのない、普通なこと。 「一様」は行動や状態が他と同じこと。,4級
人跡未踏,じんせきみとう,人がまだ足を踏み入れたことがないこと。 「人跡」は人が歩いた足跡のこと。 「未踏」は未だ誰一人として、足を踏み入れていないこと。,4級
尽善尽美,じんぜんじんび,完璧なこと。 善と美のどちらもきわめているということから。 「善を尽くし美を尽くす」とも読む。,4級
尽忠報国,じんちゅうほうこく,国に忠義を尽くして、国からの恩に報いること。 「尽忠」は誠意を込めて君主や国家に尽くすこと。 「報国」は国から受けた恩に報いること。 中国の南北朝時代の皇帝、宣帝の死後、その遺言に背こうとした高官を顔之儀が諫めたという言葉から。,4級
人品骨柄,じんぴんこつがら,人柄や品格、容姿や身なりのこと。 「人品」はその人が持っている品性や気品のこと。 「骨柄」は体つきから感じられる風格や品性のこと。,4級
人面獣心,じんめんじゅうしん,非情で残酷な人のたとえ。 けだものの心を持った人間という意味から。,4級
人面獣身,じんめんじゅうしん,妖怪や化け物のこと。 顔が人間で、身体は獣という意味から。,4級
人面桃花,じんめんとうか,恋い慕う女性に会えないこと。 「人面」は美しい女性の顔。 「桃花」は植物の桃の花。 中国の唐の詩人の崔護は、ある桃の木の下で美しい女性に会い、その女性と互いに惹かれあったが、その時はそのまま別れた。 崔護はその女性を忘れられず、次の年にまた訪ねたがその女性に会うことができず、詩を残して去ったという故事から。,4級
寸歩不離,すんぽふり,すごく近い距離にいること。または、非常に深い関係のこと。 「寸歩」はほんの少しの距離、一歩。 一歩より遠い距離に離れることがなく、常に一緒にいるという意味から。 「寸歩も離れず」とも読む。,4級
誠歓誠喜,せいかんせいき,この上なく喜ばしいという意味。 臣下が天子に書を奉る時に用いる言葉で、「歓喜」に「誠」を重ねて至上の喜びを表現した言葉。,4級
晴好雨奇,せいこううき,晴れでも雨でも美しい景色のこと。 山水の景色は、晴れた日は美しく、雨の日は趣きがあり、どちらも見事であるという意味。,4級
青史汗簡,せいしかんかん,歴史書のこと。 「青史」は歴史。 「汗簡」は文書や書籍のこと。 紙ができる前の古代中国では、青竹を火であぶり、汗のように出る油を取り除いたものに文字を書いていたことから。,4級
精神一到,せいしんいっとう,精神を集中して事にあたれば、どんなことでも必ず成し遂げることができるということ。 「一到」は集中すること。,4級
青銭万選,せいせんばんせん,非常にすばらしい文章のたとえ。 「青銭」は青銅の銭。 「万選」は何度も選びなおすこと。 青銅の銭は非常に質がよく、他の質の悪い銭の中に混ぜても、一万回でも間違えることなく、青銅の銭を選び出すことが出来るという意味から。 中国の官吏の試験の科挙を何度受けなおしても合格する、素晴らしい文章のことをいう。 唐の張サクの文章が素晴らしく、「青銭学士」と称されたという故事から。,4級
盛徳大業,せいとくたいぎょう,大きくすぐれた徳と大きな事業。 「盛徳」はすぐれた高い徳。 「大業」は社会的に価値や重要性がある大きな仕事。 大きな徳があり、すぐれた人格のある君子が目標とするもののこと。,4級
精疲力尽,せいひりきじん,酷く疲れて弱ること。 「精疲れ力尽く」とも読む。,4級
生離死別,せいりしべつ,非常に辛い別れのこと。 生き別れと死に別れということから。 「生きて離れ死んで別れる」とも読む。,4級
世外桃源,せがいとうげん,この世とは違う別の平和な世界。理想郷。 「世外」はこの世ではない別の世界のこと。 「桃源」は「桃源郷」を略した言葉で、別の世界にある平和で穏やかな世界をいう。 とある漁師が川をさかのぼって森の奥に進むと洞穴があり、その洞穴を抜けると、そこには桃の花が咲き乱れる美しい地があり、秦の乱から逃れてきた者たちが平和に暮らす理想郷を見つけたという故事から。,4級
積羽沈舟,せきうちんしゅう,小さなものでも、数がたくさん集まれば大きな力になるということのたとえ。 軽い羽毛でもたくさん集まれば、舟を沈めるほどの重さになるという意味から。 「積羽舟を沈む」とも読む。,4級
積厚流光,せきこうりゅうこう,蓄積したものが多ければ多いほど、その恩恵は大きいということ。 または、先祖の功績が大きければ、子孫にも恩恵が及ぶということ。 「積厚」は厚く積み重ねること。 「流光」は広く恩恵が及ぶこと。,4級
石破天驚,せきはてんきょう,非常に斬新ですぐれている詩文や音楽のこと。 石が破れて、天が驚くほどに素晴らしいという意味から。 「石破れて天驚く」とも読む。,4級
切歯腐心,せっしふしん,激しく怒って、思い悩むこと。。 「切歯」は歯軋りをするということから、怒った顔のたとえ。 「腐心」は心を悩ますこと。,4級
雪裏清香,せつりせいこう,植物の梅の別名。 「雪裏」は雪の中という意味。 雪がある時期はほとんど花は咲いていないが、梅は雪が残っている時期から花を咲かせて、清らかな香りを漂わせるという意味から。,4級
扇影衣香,せんえいいこう,身分の高い女性が集まって話をしている様子。 「扇影」は持っている扇子の影。 「衣香」は豪華で美しい衣服とよい香り。 どちらも高貴な女性を言い表す言葉。,4級
浅学非才,せんがくひさい,学問や知識が浅く、才能や能力が乏しいこと。 自分のことを謙遜していう言葉。 「浅学」は修練が足りず、学問や知識が浅いという意味。 「非才」は才能がない、才能が劣っているという意味。 「浅学菲才」とも書く。,4級
千客万来,せんきゃくばんらい,たくさんの客が、途絶えることなく次々に来ること。 「千」と「万」は数が多いことのたとえ。 来客が多い様子や繁盛している店の様子をいう言葉。,4級
千軍万馬,せんぐんばんば,この上なく規模の大きい軍隊のこと。 または、戦闘の経験を多く積んでいる人物のことで、人生経験が豊富な人物のたとえ。 「千」と「万」は数が多いことのたとえ。 「軍」は兵士、「馬」は軍用の馬のこと。,4級
千言万語,せんげんばんご,極めて多くの言葉のこと。 または、非常に多くの言葉を並べたくどい話のこと。 「千」と「万」は非常に数が多いことのたとえ。 「言」と「語」はどちらも言葉という意味。,4級
千紅万紫,せんこうばんし,さまざまな色の花が咲き乱れている様子。 または、さまざまな色を言い表す言葉。 「千」と「万」は数が多いことのたとえ。 「紅」と「紫」はさまざまな色の花のたとえ。,4級
千差万別,せんさばんべつ,人や物や事柄には様々な種類や違いがあり、どれひとつをとっても同じものはないということ。 「千」と「万」は、数が多いことのたとえ。 「差」と「別」は、違いや区別という意味。,4級
千山万水,せんざんばんすい,多くの山や川のことで、奥深く広大な自然のこと。 「千」と「万」は数が多いことで、どこまでも山や川が続いているという意味から、遠く険しい道のりのことの形容。,4級
千思万考,せんしばんこう,何度も深く考えること。 「千」と「万」は、数が多いことのたとえ。 「思」と「考」は、考えるという意味。,4級
千紫万紅,せんしばんこう,さまざまな色の花が咲き乱れている様子。 または、さまざまな色を言い表す言葉。 「千」と「万」は数が多いことのたとえ。 「紫」と「紅」はさまざまな色の花のたとえ。,4級
千姿万態,せんしばんたい,様々な異なっている姿や様相。 「千」と「万」は数が多いことのたとえ。 「姿」と「態」は顔かたちや体つき、容姿のこと。 「千万の姿態」ということから。,4級
千秋万古,せんしゅうばんこ,限りなく長い年月。永遠。 「千秋」は千回の秋ということから、千年のこと。 「万古」はいつまでも、永遠ということ。,4級
千秋万歳,せんしゅうばんざい,限りなく長い年月。 または、長生きを祝う言葉。 「千」と「万」は数が多いことのたとえ。 「秋」と「歳」は年のこと。 千年も万年も長生きすることを願うという意味から。,4級
千状万態,せんじょうばんたい,色々な様子や形のこと。 「千」と「万」は数が多いことのたとえ。 「状」と「態」はどちらも形や状態のこと。,4級
先制攻撃,せんせいこうげき,相手の攻撃よりも先に攻撃すること。 「先制」は物事が起こる直前。または、事を起こそうとしている直前のこと。,4級
千村万落,せんそんばんらく,たくさんの村落。 「千」と「万」は数が非常に多いことのたとえ。,4級
先難後獲,せんなんこうかく,先に難事に取り組み、利益は後回しにすること。 まずは人のためになることを行い、自分の利益になることは後回しにすること。 または、苦労した後に利益を得ること。 「先難」は困難な物事を先に解決すること。 「後獲」は利益を後回しにすること。後で利益を得ること。 「難きを先にし獲るを後にす」とも読む。,4級
千変万化,せんぺんばんか,情勢や状況がさまざまに移り変わり、変化し続けること。 「千」と「万」は数が多いことのたとえ。 千回も万回も変化するという意味から。,4級
千慮一失,せんりょのいっしつ,どんな立派な賢者にも、失敗や間違いが一つはあるということ。 または、しっかりと考えて準備しても、予想もしていなかった手落ちがあるということ。 「千慮」は何度も考えること。 「一失」は一回の失敗。,4級
千慮一得,せんりょのいっとく,愚かな人にでも、たくさんの考えの中には、一つくらい良いものがあるということ。 「千慮」はたくさんの考え。 「一得」は一つの利点。 自身の考えを述べるときに謙遜していうこともある言葉。,4級
是是非非,ぜぜひひ,正しいことは正しい、悪いことは悪いと、公正に判断すること。 個人的な感情を交えることなく、公正に判断すること。 「是を是とし、非を非とする、之を智と謂う。是を非とし、非を是とする、之を愚と謂う」という一文を略したもの。 「是々非々」とも書く。,4級
是非曲直,ぜひきょくちょく,物事の善悪のこと。 「是非」は正しいことと、間違っていること。 「曲直」は曲がっていることと、まっすぐなこと。,4級
是非善悪,ぜひぜんあく,物事の善悪のこと。 「是非」は正しいことと、間違っていること。 全ての物事を判断する基準を示した言葉で、「是非」と「善悪」は、それぞれ反対の意味の言葉を重ねたもの。,4級
前人未到,ぜんじんみとう,今までに誰一人として成し遂げたことがないこと。 または、誰も足を踏み入れたことがないこと。 「前人」は過去から現在までの全ての人、先人のこと。 「未到」は到達したことがないこと。 今までにない素晴らしい記録や先人が誰一人として踏み込んだことのない場所への探検について使う言葉。 「前人未踏」とも書く。 「未踏」は誰もそこに入ったことがないという意味。,4級
前程万里,ぜんていばんり,これから先の目的地までの道のりが遠く長いこと。 または、将来に大きな可能性があること。 「前程」はこれから先の道のり。 「万里」は距離が非常に遠いことのたとえ。,4級
前途多難,ぜんとたなん,これから先に、数多くの困難が待っていること。 または、そのように予想されること。 「前途」は将来、これから先の道のり。 「多難」は困難や災難などの苦労する出来事が多いこと。,4級
前途有望,ぜんとゆうぼう,将来、成功する可能性が大いにあること。 「前途」はこれから先の道のり、将来のこと。 「有望」は望みが叶う可能性があること。,4級
前途洋洋,ぜんとようよう,これから先の人生が明るく開けていて、希望に満ちていること。 「前途」はこれから先の道のり。将来。 「洋洋」は見渡す限り一面に水が広々と満ちている様子、転じて、大きく広がっている様子のこと。 「前途洋々」とも書く。,4級
善男善女,ぜんなんぜんにょ,仏教を信仰する人たちのこと。 または、寺院や霊場、神社などを参拝したり、巡礼したりする人のこと。,4級
善隣友好,ぜんりんゆうこう,隣国と友好的な外交関係を結ぶこと。 「善隣」は隣の家の人や隣国と仲良くすること。,4級
創意工夫,そういくふう,今までにない新しいことを考え出し、そのためにさまざまな手段、方法をためすこと。 「創意」は今までになかった新しい発想。 「工夫」は実行するためにさまざまな手段、方法をためすこと。,4級
草行露宿,そうこうろしゅく,困難で苦しい旅をすること。 険しい道を草をかき分けて進み、野宿をしながら旅をするという意味。 「草行」は道らしい道がない場所を草をかき分けて進むこと。 「露宿」は屋外で寝泊まりをする野宿のこと。,4級
送故迎新,そうこげいしん,職に就いていた者を送り出し、新たにその職に就く者を迎え入れること。 または、去っていく人を見送り、新たに来る人を迎えること。 「故きを送り新しきを迎う」とも読む。,4級
相即不離,そうそくふり,深すぎて切り離すことができない関係のこと。 「相即」は仏教の言葉で、全ての事象は完全に溶け合っていて、一つのものであり、本質は一体であるということ。 「相即きて離れず」とも読む。,4級
草木皆兵,そうもくかいへい,ひどく怯えて恐れることのたとえ。 あまりの恐怖に気が動転して、草や木が敵の兵士に見えるという意味から。,4級
即時一杯,そくじいっぱい,後で大きな利益を得るよりも、すぐに手に入る小さな利益のほうがよいということ。 「即時一杯の酒に如かず」を略した言葉で、後世に名を残すよりも、今の一杯の酒のほうが大切だという意味から。 古代中国の晋の張翰は、何もせずに毎日を過ごしていたことを人に諫められたが、死後に名誉を残すよりも、目の前の酒を飲むことのほうが大切だと答えたという故事から。 「即時一盃」とも書く。,4級
速戦即決,そくせんそっけつ,短い期間で物事の決着をつけること。 または、戦いにおいて一気に勝利を決定づけようとすること。,4級
即断即決,そくだんそっけつ,その場で判断してすぐに決めること。 「即断」と「即決」はどちらもすぐに決めるという意味で、同じ意味の熟語を重ねて強調した言葉。,4級
即決即断,そっけつそくだん,その場ですぐに判断して決めること。 「即決」と「即断」はどちらもすぐに決めるという意味で、同じ意味の言葉を重ねて強調した言葉。,4級
率先垂範,そっせんすいはん,人の先頭に立って行動して、手本を示すこと。 「率先」は自らが人の先頭に立って行動すること。 「垂範」は手本を示すこと。,4級
属毛離裏,ぞくもうりり,親子のつながりが深いこと。 「属」と「離」はどちらも連なるという意味。 「毛」は体の外側にあるという意味から、陽の存在を言い表す言葉で、父親のたとえ。 「裏」は母胎という意味から、母親のたとえ。 父親を手本にし、母親に育てられて成長することをいう言葉。,4級
大隠朝市,たいいんちょうし,悟りを開いた真の隠者は、山中ではなく人の多い街中で生活しているという意味。 「大隠」は本当に悟りを開いた隠者のこと。 「朝市」は朝廷と市場のことで、人が多く集まる場所。,4級
大驚失色,たいきょうしっしょく,非常に激しく驚き恐れて、血の気が引いて青ざめること。 「大驚」はとても激しく驚くこと。 「失色」は顔色を失うということから青ざめるという意味。,4級
大味必淡,たいみひったん,最もすぐれた味は、薄味であっさりしているものであるということ。 「大味」は味のすぐれている食べ物。 「淡」は味がうすく、あっさりしているという意味。 濃い味の食べ物は、短い期間好まれることは合っても長続きせず、うすくあっさりとした食べ物は飽きられずに好まれるという意味から。 「大味必ず淡し」とも読む。,4級
大惑不解,たいわくふかい,自分の心にある迷いを理解できない人は、いつまでも真理を悟ることができないということ。 または、様々なことを疑い迷って、疑問を解くことができないこと。 「大惑」は酷く迷うということで、自分の心にある迷いを理解できない人をいう。 「大惑解けず」または、「大惑は解らず」とも読む。,4級
度徳量力,たくとくりょうりき,自身の持つ徳や信望、力量をしっかりと確かめること。 または、確かめた後に能力に応じて事にあたるべきであるということ。 「度」と「量」はどちらも測るという意味。 「徳を度り力を量る」とも読む。,4級
多事多端,たじたたん,やるべきことが多くて、非常に忙しいこと。 「多事」はやらなければならないことが多いこと。 「多端」は非常に忙しい様子。,4級
多蔵厚亡,たぞうこうぼう,欲の深い人は財産だけに固執するために、人間関係だけではなく、財産も全て失うということ。 財産を蓄えれば蓄えるほどに失うものも多くなるという意味から。 欲をおさえて、相応のところで満足することが大切であるという戒め。 「厚亡」はたくさんのものを失うということ。 「多く蔵すれば厚く亡う」とも読む。,4級
端木辞金,たんぼくじきん,納得のできない金銭は、絶対に受け取らないということ。 「端木」は人名。 「辞金」は金銭を受け取ることを辞退するという意味。 中国の春秋時代、孔子の弟子で富豪の端木は、他国に売られた魯の国の人を買い戻すときに公金を使うことになっていたにも関わらず、それをよしとせずに私財で買い戻したという故事から。 「端木金を辞す」とも読む。,4級
短慮軽率,たんりょけいそつ,結果がどうなるかを考えずに、行動や物事を決めること。 「短慮」は考えが足りずに浅いこと。 「軽率」は深く考えることなく、軽々しく事を行うこと。,4級
弾丸雨注,だんがんうちゅう,雨が激しく降るように、弾丸が降り注ぐこと。 「弾丸雨のごとく注ぐ」とも読む。,4級
弾丸黒子,だんがんこくし,非常に狭い土地のたとえ。 「弾丸」は小さな鳥を捕獲するために使う弾き弓の小さな玉。 「黒子」はほくろ。 弾き弓の玉や、ほくろのような土地という意味から。 「弾丸黒痣」とも書く。,4級
談言微中,だんげんびちゅう,直接ではなく、遠回しに人の急所を突く話し方のこと。 「談言」は話し方。 「微中」はさりげなく相手の重要なところを突くこと。,4級
断髪文身,だんぱつぶんしん,野蛮な習慣のこと。 「断髪」は髪の毛を短い長さに切ること。 「文身」は刺青のこと。 中国で野蛮とされていた、呉越の一帯の風習。,4級
知者不惑,ちしゃふわく,賢い人は物事の道理を理解しているので、判断に迷うことがないということ。,4級
致知格物,ちちかくぶつ,物事の道理を極めて、知識を最大限に広げていくこと。 「致知」は知識を極めること。 「格物」は物事の道理を極めつくすこと。,4級
忠言逆耳,ちゅうげんぎゃくじ,他人からの忠告は聞き入れがたいものだということ。 「逆耳」は聞きづらいということで、他人からの忠告は聞きづらいが、ためになるものなので、聞く態度をもつことが大切だという意味。 「忠言は耳に逆らう」とも読み、「忠言は耳に逆らえども行いに利あり」を略した言葉。,4級
忠孝一致,ちゅうこういっち,主君に忠義を尽くすことと親を敬い尽くすことは同じことだということ。または、それらを両立することはできるということ。 「忠孝」は主君に忠義を尽くすことと親へ孝行すること。 「一致」は複数のものが完全に同じものであること。 日本国民を一つの家族とした場合、天皇は家長にあたるため、主君に忠義を尽くすことと親を敬い尽くすことは同じことだということから。,4級
昼夜兼行,ちゅうやけんこう,一日中休まずに仕事をすること。 「昼夜」は昼と夜のことから、一日中という意味。 「兼行」は先を急ぎ、一日に二日分の距離を進むこと。,4級
忠勇義烈,ちゅうゆうぎれつ,正義感があり、忠義に厚く勇敢なこと。,4級
朝雲暮雨,ちょううんぼう,男女の交わり、情交のたとえ。 中国の戦国時代の楚の懐王が昼寝をした際、夢の中で巫山の女神と情交を結んだ。別れ際に女神が「朝には雲となって、夕方には雨となってここに参ります」と言ったという故事から。,4級
朝改暮変,ちょうかいぼへん,命令や制令、法律などがすぐに変わってしまい、しっかりと定まることがないこと。 朝に出した命令や法律などが、夕方には変わるという意味から。,4級
朝過夕改,ちょうかせきかい,犯した過ちをすぐに改めることのたとえ。 朝に犯した過ちを夕方には改めるという意味から。 君子の心得をいう言葉。 「朝に過てば夕べに改む」とも読む。,4級
朝観夕覧,ちょうかんせきらん,朝に見て、夕方にも見ること。 絵画などの芸術品を何度も見て楽しむことをいう言葉。,4級
鳥語花香,ちょうごかこう,のどかな春の景色のこと。 鳥のさえずりと花の香りという意味から。,4級
朝三暮四,ちょうさんぼし,目前の差にこだわり、結局は同じ結果なのに気がつかないこと,4級
